Timestep,Ontario,Northwest,Northeast,Ottawa,East,Toronto,Essa,Bruce,Southwest,Niagara,West
1/3/2016 6:00,30.26629302,53.0002381,113.1719427,26.74793353,26.74793353,13.05533637,0.155046807,0.183094839,0.204336961,0.063782921,66.59148491
1/3/2016 7:00,29.53934922,55.96579237,109.3398063,26.23004475,26.23004475,12.75130893,0.159196386,0.18295531,0.20630552,0.052777778,66.53333397
1/3/2016 8:00,28.6621133,59.03472881,104.9395852,25.63308614,25.63308614,12.52447085,0.158750347,0.180028316,0.200392398,0.057272031,67.74536206
1/3/2016 9:00,29.98967565,59.17608398,101.1546776,30.17707313,30.17707313,16.65471816,0.152501407,0.169229761,0.187172894,0.007497942,62.97277912
1/3/2016 10:00,31.00507134,55.31316846,99.96016151,33.71620543,33.71620543,19.55678163,1.892934438,0.172065341,2.299230399,0.052320611,59.33169944
1/3/2016 11:00,30.04607467,50.44381938,103.6790317,31.74258359,31.74258359,18.72201213,2.341830755,0.177424519,2.864239154,0.212928302,56.09836868
1/3/2016 12:00,30.79797352,55.27618017,105.5496338,32.51373443,32.51373443,18.42953974,4.22037487,0.173229699,5.223578732,0.200854827,57.53953165
1/3/2016 13:00,33.36699918,53.84791884,105.7633911,33.86213139,33.86213139,23.02876988,7.069160007,0.167665953,8.659721009,0.16504797,59.63260875
1/3/2016 14:00,35.71363641,50.38487497,107.115757,34.16036444,34.16036444,25.21086957,9.819419712,0.171965028,12.92592704,0.173338268,67.45590305
1/3/2016 15:00,36.91687165,53.02486358,107.5153881,34.58893403,34.58893403,26.84393065,10.80609476,0.171450064,14.38527082,0.217876712,67.88277733
1/3/2016 16:00,36.65487403,56.52551445,102.9112884,34.81142548,34.81142548,27.02523023,11.00245053,0.172718973,14.17223328,0.147501875,67.04579263
1/3/2016 17:00,37.38284949,55.62692247,90.22565067,35.88567396,35.88567396,31.78607389,18.83983897,0.175847302,13.97342708,0.059502262,65.21727345
1/3/2016 18:00,35.26282547,42.62704031,65.05016681,32.33664622,34.83206499,32.23174277,38.95434728,0.174674648,13.98743242,0.028424479,64.23596478
1/3/2016 19:00,34.95357403,41.31601893,61.553364,34.20861586,34.41689726,32.15922825,40.58114574,0.168256396,14.11246015,0.027359155,64.00674274
1/3/2016 20:00,37.81714516,55.17877005,61.27372494,38.23236187,39.81936499,36.51068314,39.01324863,0.160200351,15.65194746,0.022112313,70.68316586
1/3/2016 21:00,36.33498613,57.76772496,62.56725965,42.85879706,42.85879706,29.85347791,39.00204551,0.151266894,15.56221183,0.022289157,73.82889259
1/3/2016 22:00,38.83080795,53.23057141,70.58827523,47.94492522,49.78473545,34.83166691,33.17337048,0.148079282,15.11633437,0.018271605,72.99904348
1/3/2016 23:00,32.51870359,46.4483264,78.46101643,50.45519973,50.45519973,23.12264944,23.07989663,0.150702799,3.931788726,0.040780712,67.7577732
1/4/2016 0:00,29.0577674,41.88610893,84.69812878,33.3859705,33.3859705,12.76743136,22.44713913,0.152913809,0.163263921,0.028885735,68.6110518
1/4/2016 1:00,30.33430672,37.80401582,97.00870335,30.28920325,30.28920325,12.68983101,11.42524362,0.155238166,0.16091886,0.015190616,77.3429524
1/4/2016 2:00,31.40152509,50.9439857,96.74702703,30.16394513,30.16394513,13.42575613,8.554815374,0.158070202,0.240658447,0.032637829,76.4748491
1/4/2016 3:00,36.14427942,55.32496384,95.54778683,32.29073887,32.29073887,16.89335575,12.86060184,0.152283774,9.320166503,0.002633452,87.18735579
1/4/2016 4:00,42.01889663,56.88313363,96.91153359,34.56361405,34.56361405,19.71735282,18.2166045,0.149137637,23.26310363,0.000627651,101.8436275
1/4/2016 5:00,49.69544321,58.33351362,96.51045597,40.89551559,40.89551559,31.18729859,24.66664432,0.15331458,32.08295325,0.000620285,111.1405118
1/4/2016 6:00,55.60963276,54.64702058,97.33381042,46.45667451,46.45667451,44.75518405,26.25386788,0.162440153,31.55994183,0.016543422,120.7509652
1/4/2016 7:00,63.60222882,51.71188461,93.87199638,53.24115133,53.24115133,61.14046649,27.09006368,0.170064555,29.78867792,0.023629283,147.2303745
1/4/2016 8:00,60.4247544,46.13502518,79.99750383,39.18999443,47.29484702,61.51519214,35.02749312,0.172119612,28.10449796,0.038490842,135.7391792
1/4/2016 9:00,61.0242857,46.56047254,72.80374035,39.79905591,43.64705937,61.94071219,40.72884625,0.165440985,28.35026851,0.083368506,134.3888351
1/4/2016 10:00,60.39299792,45.94928182,67.64165044,38.01780801,45.86156938,60.12404503,43.9040051,0.161894414,28.57357244,1.906346749,139.2823585
1/4/2016 11:00,59.35389702,50.95325214,83.16813278,39.91599739,45.87666467,61.15124575,35.02745174,0.16534193,28.51328274,1.98518546,124.4691806
1/4/2016 12:00,63.54976031,62.54501024,89.20549698,41.46463874,44.83390805,61.41728918,31.32461743,0.16262088,28.77128268,7.067734651,145.3622917
1/4/2016 13:00,59.61806114,51.60315307,87.95596588,41.65879073,45.53923736,40.45178939,34.69748591,0.159214997,29.1747658,7.011505376,165.7408476
1/4/2016 14:00,61.38843866,71.09204389,87.42555249,43.052647,47.03334005,40.95540395,37.60031754,0.158647826,28.98335588,8.582460317,169.337807
1/4/2016 15:00,67.22671505,48.92514087,88.58218612,58.54749352,64.06926322,49.22727136,35.83030303,0.158038003,29.54353769,21.55666667,177.5715911
1/4/2016 16:00,77.32839883,63.59731908,86.01255425,61.08339181,64.82274358,57.21543453,44.76886929,0.153780578,29.90279597,57.42564859,203.0805527
1/4/2016 17:00,89.96791753,65.51909516,66.22149986,74.61627621,74.61627621,75.53246192,48.15199007,0.148375359,33.18689782,52.01044279,269.9516002
1/4/2016 18:00,112.3775727,37.01912773,64.3876451,85.03312937,85.03312937,98.34510483,47.9703659,0.149182561,39.61535332,50.87715345,388.1609909
1/4/2016 19:00,113.6811106,56.9584399,65.64972106,88.31211525,88.31211525,100.3094205,49.99612178,0.148466677,40.1027379,50.5217104,394.3501315
1/4/2016 20:00,105.6493142,60.51876623,67.70455835,82.01987908,82.01987908,85.58353611,49.58725101,0.148173412,39.08523319,49.71104277,396.1057071
