name,_id,run_start_time,run_end_time,status,status_message,nrc_create_geometry.aspect_ratio,nrc_create_geometry.building_shape,nrc_create_necb_prototype_building.building_type,nrc_create_necb_prototype_building.location,nrc_create_necb_prototype_building.template,nrc_create_necb_prototype_building.weather_file_type,nrc_reporting_measure_standard.annual_electricity_use,nrc_reporting_measure_standard.annual_natural_gas_use,nrc_reporting_measure_standard.total_site_energy,nrc_reporting_measure_standard.total_site_energy_normalized,a_choice_argument,global_warming,sideload,weather_file_type
RetailStripmall:NS_Halifax.Dockyard:NECB2020,ef52376f-2082-4c9b-affa-b170c10a849a,2023-02-16T23:33:20.135Z,2023-02-16T23:38:33.061Z,completed,completed normal,,,RetailStripmall,NS_Halifax.Dockyard,NECB2020,CWEC2016,225900.0,154300.0,181.9,181.9,,,,
RetailStripmall:NL_St.Johns:NECB2011,e6128887-9357-4b31-b914-d5fc88be4d48,2023-02-16T23:30:32.962Z,2023-02-16T23:35:28.239Z,completed,completed normal,,,RetailStripmall,NL_St.Johns,NECB2011,CWEC2016,518200.0,0.0,247.9,247.9,,,,
Warehouse:AB_Calgary:NECB2017,21c311f0-9cbc-435f-b414-f1c5ccbad2f0,2023-02-16T21:58:25.097Z,2023-02-16T22:05:55.743Z,completed,completed normal,,,Warehouse,AB_Calgary,NECB2017,CWEC2016,243500.0,282700.0,108.8,108.8,,,,
RetailStandalone:ON_Toronto:NECB2011,1b74ce09-8644-4621-a4d8-a37dda2a2ab9,2023-02-16T22:52:13.052Z,2023-02-16T22:56:59.876Z,completed,completed normal,,,RetailStandalone,ON_Toronto,NECB2011,CWEC2016,319200.0,219800.0,235.0,235.0,,,,
LargeOffice:AB_Fort.McMurray:NECB2017,fff37778-61ea-44ce-9ba8-2bb793aef929,2023-02-17T00:34:36.710Z,2023-02-17T00:49:03.848Z,completed,completed normal,,,LargeOffice,AB_Fort.McMurray,NECB2017,CWEC2016,3372000.0,1572000.0,106.7,106.7,,,,
QuickServiceRestaurant:QC_Montreal:NECB2020,2440f9ac-088b-4ac9-b4e3-8fd1c45ad9ff,2023-02-17T00:27:44.883Z,2023-02-17T00:32:04.972Z,completed,completed normal,,,QuickServiceRestaurant,QC_Montreal,NECB2020,CWEC2016,64160.0,0.0,276.1,276.1,,,,
MediumOffice:NL_St.Johns:NECB2020,b49f27a2-a676-4850-b34d-ac9f0eda7406,2023-02-16T23:09:44.241Z,2023-02-16T23:18:16.410Z,completed,completed normal,,,MediumOffice,NL_St.Johns,NECB2020,CWEC2016,497300.0,0.0,99.81,99.81,,,,
QuickServiceRestaurant:BC_Vancouver:NECB2015,c068fb53-8013-49ec-884f-6d66f4ba71ad,2023-02-17T00:21:12.068Z,2023-02-17T00:25:21.295Z,completed,completed normal,,,QuickServiceRestaurant,BC_Vancouver,NECB2015,CWEC2016,162300.0,0.0,698.6,698.6,,,,
RetailStripmall:NT_Yellowknife:NECB2020,e686b5be-5399-455b-b876-3aeaa779bd24,2023-02-16T23:35:06.427Z,2023-02-16T23:40:50.801Z,completed,completed normal,,,RetailStripmall,NT_Yellowknife,NECB2020,CWEC2016,366400.0,0.0,175.3,175.3,,,,
MidriseApartment:QC_Quebec:NECB2017,5bd154a7-ee16-4592-b9df-74c5a82b2b29,2023-02-17T00:13:20.886Z,2023-02-17T00:19:56.480Z,completed,completed normal,,,MidriseApartment,QC_Quebec,NECB2017,CWEC2016,450400.0,0.0,143.7,143.7,,,,
MediumOffice:AB_Fort.McMurray:NECB2011,fb0c7728-ae2c-48f7-9542-efe8c7dab42e,2023-02-16T23:00:27.348Z,2023-02-16T23:07:01.221Z,completed,completed normal,,,MediumOffice,AB_Fort.McMurray,NECB2011,CWEC2016,398500.0,318100.0,143.8,143.8,,,,
MidriseApartment:ON_Windsor:NECB2020,9fab3660-9549-4000-9660-91beeb157cb8,2023-02-17T00:14:02.237Z,2023-02-17T00:21:22.623Z,completed,completed normal,,,MidriseApartment,ON_Windsor,NECB2020,CWEC2016,243600.0,244100.0,155.6,155.6,,,,
MediumOffice:NS_Sydney:NECB2020,b5473a41-2b18-4c2c-8c12-f259de9fdbaf,2023-02-16T23:12:22.913Z,2023-02-16T23:22:05.988Z,completed,completed normal,,,MediumOffice,NS_Sydney,NECB2020,CWEC2016,338800.0,179900.0,104.1,104.1,,,,
FullServiceRestaurant:QC_Quebec:NECB2015,12c9c5a9-2652-4519-a518-a35edf265e37,2023-02-16T23:51:43.298Z,2023-02-16T23:56:25.160Z,completed,completed normal,,,FullServiceRestaurant,QC_Quebec,NECB2015,CWEC2016,353100.0,0.0,690.7,690.7,,,,
QuickServiceRestaurant:ON_Toronto:NECB2015,10483c99-6027-4340-991a-4524888fbf83,2023-02-17T00:26:30.834Z,2023-02-17T00:30:52.136Z,completed,completed normal,,,QuickServiceRestaurant,ON_Toronto,NECB2015,CWEC2016,51960.0,194300.0,1060.0,1060.0,,,,
RetailStandalone:QC_Quebec:NECB2017,1cc50782-6e1e-4101-adba-6b35bb91f767,2023-02-16T22:55:11.043Z,2023-02-16T23:00:25.284Z,completed,completed normal,,,RetailStandalone,QC_Quebec,NECB2017,CWEC2016,373700.0,0.0,162.9,162.9,,,,
LargeOffice:BC_Victoria:NECB2011,b7071d3f-a300-4f75-9264-cf7c2769e4c6,2023-02-17T00:35:25.173Z,2023-02-17T00:41:41.491Z,completed,completed normal,,,LargeOffice,BC_Victoria,NECB2011,CWEC2016,4789000.0,0.0,103.4,103.4,,,,
MediumOffice:QC_Quebec:NECB2020,2dec81db-d6e9-4ce4-a818-cd7760261486,2023-02-16T23:20:54.482Z,2023-02-16T23:27:08.206Z,completed,completed normal,,,MediumOffice,QC_Quebec,NECB2020,CWEC2016,509600.0,0.0,102.3,102.3,,,,
RetailStandalone:ON_Windsor:NECB2020,6068c5df-ccd5-47e5-84a6-8bb1aee01961,2023-02-16T22:55:37.608Z,2023-02-16T23:01:35.645Z,completed,completed normal,,,RetailStandalone,ON_Windsor,NECB2020,CWEC2016,250000.0,139300.0,169.7,169.7,,,,
MidriseApartment:BC_Vancouver:NECB2015,b621133b-8d43-4dd3-8443-2bb504c13840,2023-02-16T23:59:11.450Z,2023-02-17T00:06:15.495Z,completed,completed normal,,,MidriseApartment,BC_Vancouver,NECB2015,CWEC2016,457900.0,0.0,146.1,146.1,,,,
RetailStandalone:ON_Windsor:NECB2011,e05ab645-37f6-4568-a08f-f7f35e69740d,2023-02-16T22:55:30.167Z,2023-02-16T23:00:12.753Z,completed,completed normal,,,RetailStandalone,ON_Windsor,NECB2011,CWEC2016,333400.0,194000.0,229.9,229.9,,,,
LargeOffice:NL_St.Johns:NECB2015,cdd8a39b-fcb3-472a-b0b5-c42c65c9483b,2023-02-17T00:41:21.642Z,2023-02-17T00:47:30.644Z,completed,completed normal,,,LargeOffice,NL_St.Johns,NECB2015,CWEC2016,4943000.0,0.0,106.7,106.7,,,,
QuickServiceRestaurant:NS_Sydney:NECB2017,0c2cc252-9294-4740-b5e1-fc84d3126aad,2023-02-17T00:25:23.099Z,2023-02-17T00:29:47.153Z,completed,completed normal,,,QuickServiceRestaurant,NS_Sydney,NECB2017,CWEC2016,51640.0,116800.0,725.1,725.1,,,,
MidriseApartment:NS_Sydney:NECB2011,d173187f-d1dd-47b6-b133-6606c11e6ac6,2023-02-17T00:06:16.029Z,2023-02-17T00:13:20.395Z,completed,completed normal,,,MidriseApartment,NS_Sydney,NECB2011,CWEC2016,207700.0,261500.0,149.7,149.7,,,,
Warehouse:MB_Winnipeg:NECB2017,07d2552a-ed8a-470a-b098-5be07cbe2ce9,2023-02-16T22:04:20.591Z,2023-02-16T22:09:54.106Z,completed,completed normal,,,Warehouse,MB_Winnipeg,NECB2017,CWEC2016,580200.0,0.0,120.0,120.0,,,,
QuickServiceRestaurant:ON_Toronto:NECB2017,58e59e7e-62ac-4a7b-85bb-09d369c4f4be,2023-02-17T00:26:40.603Z,2023-02-17T00:30:41.133Z,completed,completed normal,,,QuickServiceRestaurant,ON_Toronto,NECB2017,CWEC2016,56830.0,95980.0,657.7,657.7,,,,
LargeOffice:AB_Fort.McMurray:NECB2015,a62518c2-a62f-4469-8a69-0a04ad2f3518,2023-02-17T00:34:23.927Z,2023-02-17T00:42:09.778Z,completed,completed normal,,,LargeOffice,AB_Fort.McMurray,NECB2015,CWEC2016,3619000.0,2242000.0,126.5,126.5,,,,
QuickServiceRestaurant:AB_Calgary:NECB2017,62152d9c-5627-4a67-9535-86f54a027655,2023-02-17T00:17:53.095Z,2023-02-17T00:21:05.873Z,completed,completed normal,,,QuickServiceRestaurant,AB_Calgary,NECB2017,CWEC2016,52540.0,106100.0,682.7,682.7,,,,
MediumOffice:NS_Halifax.Dockyard:NECB2017,f3c08f9d-8a43-4e71-80db-fc0fc7784b78,2023-02-16T23:11:23.852Z,2023-02-16T23:23:56.711Z,completed,completed normal,,,MediumOffice,NS_Halifax.Dockyard,NECB2017,CWEC2016,382300.0,155100.0,107.9,107.9,,,,
SmallOffice:QC_Montreal:NECB2011,5df58156-e887-4d61-81e2-6b124c4e6c7f,2023-02-16T22:30:48.453Z,2023-02-16T22:36:28.989Z,completed,completed normal,,,SmallOffice,QC_Montreal,NECB2011,CWEC2016,73920.0,0.0,144.6,144.6,,,,
SmallOffice:NL_St.Johns:NECB2015,e6609cdf-66ab-4c99-ba73-2f6ed9505ff5,2023-02-16T22:23:58.512Z,2023-02-16T22:30:50.607Z,completed,completed normal,,,SmallOffice,NL_St.Johns,NECB2015,CWEC2016,69500.0,0.0,136.0,136.0,,,,
SmallOffice:NL_St.Johns:NECB2020,55a72909-3f1b-4cd7-a1ae-04953c282a25,2023-02-16T22:24:20.839Z,2023-02-16T22:31:39.049Z,completed,completed normal,,,SmallOffice,NL_St.Johns,NECB2020,CWEC2016,60600.0,0.0,118.6,118.6,,,,
MidriseApartment:MB_Winnipeg:NECB2020,2623736a-68d1-4266-bab1-032928edf498,2023-02-17T00:03:38.761Z,2023-02-17T00:10:01.097Z,completed,completed normal,,,MidriseApartment,MB_Winnipeg,NECB2020,CWEC2016,528000.0,0.0,168.5,168.5,,,,
LargeOffice:ON_Windsor:NECB2015,1d2a3f8e-7c81-4b77-9e22-77f192c19107,2023-02-17T00:51:24.373Z,2023-02-17T00:58:04.252Z,completed,completed normal,,,LargeOffice,ON_Windsor,NECB2015,CWEC2016,4153000.0,1310000.0,117.9,117.9,,,,
QuickServiceRestaurant:SK_Saskatoon:NECB2017,3b113139-d735-41de-8fc3-58ec8079ece4,2023-02-17T00:30:20.036Z,2023-02-17T00:35:07.564Z,completed,completed normal,,,QuickServiceRestaurant,SK_Saskatoon,NECB2017,CWEC2016,52780.0,145200.0,852.1,852.1,,,,
FullServiceRestaurant:YT_Whitehorse:NECB2015,f9021c8f-1be4-4ee4-8ad9-b0e32a825920,2023-02-16T23:55:39.609Z,2023-02-16T23:59:45.037Z,completed,completed normal,,,FullServiceRestaurant,YT_Whitehorse,NECB2015,CWEC2016,404700.0,0.0,791.7,791.7,,,,
RetailStandalone:NS_Sydney:NECB2020,b9eb6ad2-d8b0-4841-9758-6262c76dd733,2023-02-16T22:49:49.241Z,2023-02-16T22:56:02.009Z,completed,completed normal,,,RetailStandalone,NS_Sydney,NECB2020,CWEC2016,212000.0,170600.0,166.8,166.8,,,,
