name,_id,run_start_time,run_end_time,status,status_message,nrc_create_necb_prototype_building.building_type,nrc_create_necb_prototype_building.epw_file,nrc_create_necb_prototype_building.template,nrc_report_utility_costs.total_site_energy,openstudio_results.eui
MidriseApartmentAB_CalgaryNECB2011,bff7ea0a-dc60-4139-b978-cb58bfb34d92,2021-12-24T16:57:17.442Z,2021-12-24T17:03:42.779Z,completed,completed normal,MidriseApartment,AB_Calgary,NECB2011,489600,156.1978825
QuickServiceRestaurantON_Sault.Ste.MarieNECB2011,c083d011-5905-4279-80cd-e50c1bb5021b,2021-12-24T17:34:59.161Z,2021-12-24T17:37:11.133Z,completed,completed normal,QuickServiceRestaurant,ON_Sault.Ste.Marie,NECB2011,290000,1247.967538
RetailStripmallYT_WhitehorseNECB2017,c171760b-c94d-4b05-9a50-cd0760f10d6b,2021-12-24T16:46:25.664Z,2021-12-24T16:49:48.119Z,completed,completed normal,RetailStripmall,YT_Whitehorse,NECB2017,424900,203.2610105
MediumOfficeSK_SaskatoonNECB2011,c17df7a6-3fa4-4eed-b1b6-3325c2c20626,2021-12-24T16:31:33.851Z,2021-12-24T16:35:54.582Z,completed,completed normal,MediumOffice,SK_Saskatoon,NECB2011,805500,161.6853677
FullServiceRestaurantBC_VancouverNECB2015,c22a6f0b-f2dc-47ce-9bf9-e3c93e3da80a,2021-12-24T16:48:48.535Z,2021-12-24T16:51:22.536Z,completed,completed normal,FullServiceRestaurant,BC_Vancouver,NECB2015,246500,482.2622192
FullServiceRestaurantNT_Inuvik-ZubkoNECB2015,c22afc8a-df26-4416-b678-803f27fa916e,2021-12-24T16:52:13.834Z,2021-12-24T16:54:49.900Z,completed,completed normal,FullServiceRestaurant,NT_Inuvik-Zubko,NECB2015,595300,1164.612475
MidriseApartmentON_TorontoNECB2011,c26a9d7d-5eb6-46fe-8737-c8a1b1d24be6,2021-12-24T17:13:18.919Z,2021-12-24T17:20:19.712Z,completed,completed normal,MidriseApartment,ON_Toronto,NECB2011,475100,151.5650184
WarehouseNT_Inuvik-ZubkoNECB2017,c293be85-374d-44a8-9acb-8e73536d12fb,2021-12-24T15:47:31.777Z,2021-12-24T15:50:37.085Z,completed,completed normal,Warehouse,NT_Inuvik-Zubko,NECB2017,635700,131.4695204
WarehouseNS_Sydney-McCurdyNECB2017,c30658f6-0835-4a13-bca4-a1b5b8b1b395,2021-12-24T15:45:29.991Z,2021-12-24T15:48:21.749Z,completed,completed normal,Warehouse,NS_Sydney-McCurdy,NECB2017,526800,108.9600716
MidriseApartmentNS_Sydney-McCurdyNECB2020,c345b0ba-dd96-4b86-b059-b003f93ffef2,2021-12-24T17:06:59.577Z,2021-12-24T17:14:17.016Z,completed,completed normal,MidriseApartment,NS_Sydney-McCurdy,NECB2020,515200,164.3736293
FullServiceRestaurantNS_HalifaxNECB2015,c35d3a4c-9fcf-4ae2-9288-8f2b0ee83eab,2021-12-24T16:51:26.306Z,2021-12-24T16:54:03.920Z,completed,completed normal,FullServiceRestaurant,NS_Halifax,NECB2015,379000,741.4544546
SmallOfficeON_Sault.Ste.MarieNECB2011,c3b57f98-2033-4a50-82f5-318eb06991de,2021-12-24T16:00:31.567Z,2021-12-24T16:02:45.423Z,completed,completed normal,SmallOffice,ON_Sault.Ste.Marie,NECB2011,76160,149.002052
WarehouseBC_VictoriaNECB2017,c3e99269-288a-4ebd-8517-317d015ee765,2021-12-24T15:42:48.218Z,2021-12-24T15:45:21.787Z,completed,completed normal,Warehouse,BC_Victoria,NECB2017,375400,77.64642431
