IATA_ID,Name,Updated Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CMSI,SAINT-GERMAIN-DE-GRANTHAM,Saint-Germain-De-Grantham,71967,7027470,45.825353,-72.536979,78.391,MSC,CA,AUTO,Quebec
CMTH,THETFORD MINES RCS,Thetford Mines Rcs,71494,7028442,46.049134,-71.266448,431.305,MSC,CA,AUTO,Quebec
CMUS,NANTES,Nantes,73115,7023681,45.606368,-70.932738,476.898,MSC,CA,AUTO,Quebec
CNBB,KUGAARUK CLIMATE,Kugaaruk Climate,71407,2303094,68.53743,-89.788915,17.6,MSC,CA,AUTO,Nunavut
CNBI,BATHURST INLET,Bathurst Inlet,71874,2300551,66.837724,-108.014693,6.982,MSC,CA,AUTO,Nunavut
CNCD,KINNGAIT,Kinngait,71575,2400636,64.230626,-76.530694,50.569,MSC,CA,AUTO,Nunavut
CNCN,CLINTON,Clinton,71474,1161663,51.144555,-121.504555,1060,MSC,CA,AUTO,British Columbia
CNCO,KUGLUKTUK CLIMATE,Kugluktuk Climate,71332,2300904,67.8172,-115.1353,24.4,MSC,CA,AUTO,Nunavut
CNDT,POND INLET CLIMATE,Pond Inlet Climate,71576,2403204,72.69313,-77.95735,66.164,MSC,CA,AUTO,Nunavut
CNEK,EUREKA CLIMATE,Eureka Climate,71613,2401199,79.9892,-85.9339,11,MSC,CA,AUTO,Nunavut
CNES,EDMONTON SOUTH CAMPUS,Edmonton South Campus,,3012220,53.490014,-113.537778,670,GovAB,CA,AUTO,Alberta
CNFR,FORT ROSS,Fort Ross,71629,2402051,72.018061,-94.200462,9.255,MSC,CA,AUTO,Nunavut
CNGC,GRISE FIORD CLIMATE,Grise Fiord Climate,71971,2402351,76.422476,-82.90115,35.665,MSC,CA,AUTO,Nunavut
CNLB,LINDBERGH AGDM,Lindbergh Agdm,71567,3013921,53.942778,-110.578889,630,GovAB,CA,AUTO,Alberta
CNLD,LEEDALE AGDM,Leedale Agdm,71565,3023740,52.553056,-114.4725,947,GovAB,CA,AUTO,Alberta
CNNR,NIER AGDM,Nier Agdm,71495,3034795,51.369444,-114.099167,1145,GovAB,CA,AUTO,Alberta
CNPK,PEKISKO,Pekisko,71669,3055119,50.368511,-114.415461,1396.443,MSC,CA,AUTO,Alberta
CNPL,CAPE LIVERPOOL,Cape Liverpool,76000,2400675,73.668041,-78.294694,3.886,MSC,CA,AUTO,Nunavut
CNPV,CAPE PROVIDENCE,Cape Providence,76001,2501419,74.456602,-112.160413,5.801,MSC,CA,AUTO,Northwest Territories
CNSG,SVARTEVAEG,Svartevaeg,71872,2403833,81.161196,-91.816114,71.894,MSC,CA,AUTO,Nunavut
CNSQ,SANIKILUAQ,Sanikiluaq,71643,2303668,56.5374,-79.2605,34,MSC,CA,AUTO,Nunavut
CNTK,TOMAHAWK AGDM,Tomahawk Agdm,71566,3016505,53.439444,-114.718333,814,GovAB,CA,AUTO,Alberta
CNTL,TOMPKINS LANDING AGCM,Tompkins Landing Agcm,,3076530,58.020578,-116.847797,343,GovAB,CA,AUTO,Alberta
CNVQ,NORMAN WELLS CLIMATE,Norman Wells Climate,71480,2202810,65.2875,-126.7534,95.1,MSC,CA,AUTO,Northwest Territories
CNZS,CORAL HARBOUR RCS,Coral Harbour Rcs,71134,2301010,64.187831,-83.347054,55.09,MSC,CA,AUTO,Nunavut
COBQ,BELLEVILLE QUINTE,Belleville Quinte,73042,6150690,44.159363,-77.439842,95.7,MSC,CA,AUTO,Ontario
COCP,CHAPLEAU AIRPORT,Chapleau Airport,73135,6061366,47.819258,-83.356448,447.856,MSC,CA,AUTO,Ontario
COGE,GERALDTON AIRPORT,Geraldton Airport,73071,6042719,49.78091,-86.93237,349.97,MSC,CA,AUTO,Ontario
COGI,GUELPH TURFGRASS INSTITUTE,Guelph Turfgrass Institute,73073,6143092,43.541873,-80.222081,336.52,MSC,CA,AUTO,Ontario
COKN,KING CITY NORTH,King City North,73074,6154150,43.963525,-79.574133,362,MSC,CA,AUTO,Ontario
COSL,SIOUX LOOKOUT AIRPORT,Sioux Lookout Airport,73017,6037800,50.123122,-91.904722,387.5,MSC,CA,AUTO,Ontario
COSM,SAULT STE. MARIE AIRPORT,Sault Ste. Marie Airport,73070,6057593,46.478055,-84.516667,189,MSC,CA,AUTO,Ontario
COTL,BIG TROUT LAKE,Big Trout Lake,71208,6010740,53.8164,-89.8916,219.5,MSC,CA,AUTO,Ontario
COTR,TERRACE BAY AIRPORT,Terrace Bay Airport,73018,6048232,48.815316,-87.091756,287.792,MSC,CA,AUTO,Ontario
CPAA,ALLIANCE AGCM,Alliance Agcm,71006,3010162,52.31528,-111.778613,737,GovAB,CA,AUTO,Alberta
CPAC,ACADIA VALLEY,Acadia Valley,71048,3020035,51.066136,-110.316969,735,GovAB,CA,AUTO,Alberta
CPAF,ATHABASCA AGCM,Athabasca Agcm,71271,3060330,54.634723,-113.381947,635,GovAB,CA,AUTO,Alberta
CPAH,ALBERT HALL AGCM,Albert Hall Agcm,71005,3010060,53.113334,-111.181113,658,GovAB,CA,AUTO,Alberta
